komoditas,opt,Provinsi,kab_kota,tahun,triwulan,luas_komoditas,serangan_ringan,serangan_berat,total_serangan,Luas Pengendalian APBN (Ha),Luas Pengendalian APBD I (Ha),Luas Pengendalian APBD II (Ha),Luas Pengendalian Swadaya (Ha),total_pengendalian,cara_pengendalian,provinsi_folder,file_asal,provinsi,tmax_rata,tmin_rata,suhu_rata,hujan_total,gdd_total_triwulan,jumlah_hari,gdd_akumulasi_tahunan,tbase,gdd_kuning,gdd_merah,intervensi_hijau,intervensi_kuning,intervensi_merah,gdd_triwulan_final,gdd_akumulasi_final,status,intervensi
Karet,Imperata cylindrica,KEPULAUAN BANGKA BELITUNG,BELITUNG TIMUR,2025,2,3133.51,85.5,30.5,116.0,0.0,0.0,0.0,45.0,45.0,herbisida,Bangka Belitung,Data serangan OPT 2025.xlsx,Bangka Belitung,31.83,24.52,28.18,707.98,1653.97,91.0,3234.19,,,,,,,,,Belum ada parameter,Parameter OPT belum tersedia.
Karet,Imperata cylindrica,KEPULAUAN BANGKA BELITUNG,BANGKA SELATAN,2025,2,17160.0,779.0,28.0,807.0,0.0,0.0,0.0,153.0,153.0,"Mekanis, Kimiawi",Bangka Belitung,Data serangan OPT 2025.xlsx,Bangka Belitung,31.83,24.52,28.18,707.98,1653.97,91.0,3234.19,,,,,,,,,Belum ada parameter,Parameter OPT belum tersedia.
Karet,Imperata cylindrica,KEPULAUAN BANGKA BELITUNG,BANGKA TENGAH,2025,2,3039.8,70.0,20.0,90.0,0.0,0.0,0.0,10.0,10.0,"Mekanis, Kimiawi",Bangka Belitung,Data serangan OPT 2025.xlsx,Bangka Belitung,31.83,24.52,28.18,707.98,1653.97,91.0,3234.19,,,,,,,,,Belum ada parameter,Parameter OPT belum tersedia.
Karet,Imperata cylindrica,KEPULAUAN BANGKA BELITUNG,BANGKA BARAT,2025,2,9685.85,686.4,257.0,943.4,0.0,0.0,0.0,125.0,125.0,"Mekanis, Kimiawi",Bangka Belitung,Data serangan OPT 2025.xlsx,Bangka Belitung,31.83,24.52,28.18,707.98,1653.97,91.0,3234.19,,,,,,,,,Belum ada parameter,Parameter OPT belum tersedia.
Karet,Imperata cylindrica,KEPULAUAN BANGKA BELITUNG,BELITUNG,2025,3,3255.3,143.14,13.4,156.54,0.0,0.0,0.0,86.25,86.25,herbisida,Bangka Belitung,Data serangan OPT 2025.xlsx,Bangka Belitung,31.29,24.21,27.75,617.11,976.39,55.0,4210.58,,,,,,,,,Belum ada parameter,Parameter OPT belum tersedia.
Karet,Imperata cylindrica,KEPULAUAN BANGKA BELITUNG,BELITUNG TIMUR,2025,3,3133.51,81.0,30.5,111.5,0.0,0.0,0.0,45.0,45.0,herbisida,Bangka Belitung,Data serangan OPT 2025.xlsx,Bangka Belitung,31.29,24.21,27.75,617.11,976.39,55.0,4210.58,,,,,,,,,Belum ada parameter,Parameter OPT belum tersedia.
Karet,Imperata cylindrica,KEPULAUAN BANGKA BELITUNG,BANGKA SELATAN,2025,3,17160.0,893.0,25.0,918.0,0.0,0.0,0.0,126.0,126.0,"Mekanis, Kimiawi",Bangka Belitung,Data serangan OPT 2025.xlsx,Bangka Belitung,31.29,24.21,27.75,617.11,976.39,55.0,4210.58,,,,,,,,,Belum ada parameter,Parameter OPT belum tersedia.
Karet,Imperata cylindrica,KEPULAUAN BANGKA BELITUNG,BANGKA TENGAH,2025,3,3039.8,64.0,17.8,81.8,0.0,0.0,0.0,10.0,10.0,"Mekanis, Kimiawi",Bangka Belitung,Data serangan OPT 2025.xlsx,Bangka Belitung,31.29,24.21,27.75,617.11,976.39,55.0,4210.58,,,,,,,,,Belum ada parameter,Parameter OPT belum tersedia.
Karet,Imperata cylindrica,KEPULAUAN BANGKA BELITUNG,BANGKA BARAT,2025,3,9685.85,716.6,281.0,997.6,0.0,0.0,0.0,325.0,325.0,"Mekanis, Kimiawi",Bangka Belitung,Data serangan OPT 2025.xlsx,Bangka Belitung,31.29,24.21,27.75,617.11,976.39,55.0,4210.58,,,,,,,,,Belum ada parameter,Parameter OPT belum tersedia.
Karet,Imperata cylindrica,KEPULAUAN BANGKA BELITUNG,BELITUNG,2025,4,3255.3,143.14,13.45,156.59,0.0,0.0,0.0,94.25,94.25,herbisida,Bangka Belitung,Data serangan OPT 2025.xlsx,Bangka Belitung,,,,,,,,,,,,,,,,Belum ada parameter,Parameter OPT belum tersedia.
